dimension,order,label,visible_count,total_entries,rightmost_visible_column,rarity_score,support_cutoff
GP row,1,GP1,107,107,107,414090,0.5
GP row,2,GP61,106,107,107,404681,0.5
GP row,3,GP73,105,107,107,398905,0.5
GP row,4,GP171,59,107,107,243753,0.5
GP row,5,GP101,1,107,107,11449,0.5
GP row,6,GP80,33,107,106,95137,0.5
GP row,7,GP49,22,107,106,69303,0.5
GP row,8,GP43,32,107,105,116889,0.5
GP row,9,GP29,7,107,105,42577,0.5
GP row,10,GP58,19,107,104,89046,0.5
GP row,11,GP51,37,107,102,88592,0.5
GP row,12,GP30,6,107,102,30274,0.5
GP row,13,GP9,1,107,100,10000,0.5
GP row,14,GP26,15,107,99,53516,0.5
GP row,15,GP87,5,107,99,19386,0.5
GP row,16,GP166,71,107,98,200500,0.5
GP row,17,GP68,5,107,98,19611,0.5
GP row,18,GP41,21,107,97,59862,0.5
GP row,19,GP174,19,107,97,35064,0.5
GP row,20,GP79,8,107,97,11370,0.5
GP row,21,GP15,6,107,97,19448,0.5
GP row,22,GP170,9,107,96,21673,0.5
GP row,23,GP84,2,107,95,14354,0.5
GP row,24,GP88,2,107,95,9061,0.5
GP row,25,GP178,1,107,95,9025,0.5
GP row,26,GP74,9,107,94,34726,0.5
GP row,27,GP168,9,107,93,25190,0.5
GP row,28,GP4,8,107,93,22013,0.5
GP row,29,GP21,7,107,93,13275,0.5
GP row,30,GP3,11,107,92,38744,0.5
GP row,31,GP176,10,107,92,47945,0.5
GP row,32,GP62,8,107,92,31050,0.5
GP row,33,GP16,4,107,90,13461,0.5
GP row,34,GP163,21,107,89,50475,0.5
GP row,35,GP147,3,107,88,8004,0.5
GP row,36,GP33,5,107,87,15744,0.5
GP row,37,GP132,1,107,87,7569,0.5
GP row,38,GP127,8,107,86,22954,0.5
GP row,39,GP22,5,107,86,14113,0.5
GP row,40,GP138,8,107,85,9464,0.5
GP row,41,GP142,6,107,85,13094,0.5
GP row,42,GP47,5,107,85,17604,0.5
GP row,43,GP32,30,107,84,73290,0.5
GP row,44,GP155,5,107,84,7734,0.5
GP row,45,GP11,8,107,82,17878,0.5
GP row,46,GP116,2,107,82,10568,0.5
GP row,47,GP86,3,107,81,6718,0.5
GP row,48,GP145,4,107,79,8526,0.5
GP row,49,GP99,2,107,79,8266,0.5
GP row,50,GP100,1,107,79,6241,0.5
GP row,51,GP48,2,107,77,6413,0.5
GP row,52,GP46,2,107,77,6154,0.5
GP row,53,GP7,1,107,77,5929,0.5
GP row,54,GP14,1,107,77,5929,0.5
GP row,55,GP10,4,107,76,13086,0.5
GP row,56,GP126,1,107,76,5776,0.5
GP row,57,GP195,1,107,76,5776,0.5
GP row,58,GP181,6,107,74,18530,0.5
GP row,59,GP180,2,107,74,7976,0.5
GP row,60,GP120,8,107,72,14844,0.5
GP row,61,GP37,4,107,71,11915,0.5
GP row,62,GP40,3,107,71,7894,0.5
GP row,63,GP96,1,107,71,5041,0.5
GP row,64,GP135,11,107,70,16279,0.5
GP row,65,GP35,8,107,70,10688,0.5
GP row,66,GP27,3,107,70,8878,0.5
GP row,67,GP83,3,107,70,5492,0.5
GP row,68,GP12,4,107,69,10906,0.5
GP row,69,GP104,1,107,68,4624,0.5
GP row,70,GP77,3,107,67,6874,0.5
GP row,71,GP82,2,107,67,7625,0.5
GP row,72,GP63,9,107,66,6369,0.5
GP row,73,GP117,3,107,66,5950,0.5
GP row,74,GP2,8,107,65,14504,0.5
GP row,75,GP121,5,107,65,6560,0.5
GP row,76,GP92,2,107,65,5669,0.5
GP row,77,GP139,1,107,65,4225,0.5
GP row,78,GP31,5,107,63,9943,0.5
GP row,79,GP103,3,107,62,4686,0.5
GP row,80,GP52,5,107,60,5389,0.5
GP row,81,GP109,5,107,59,5263,0.5
GP row,82,GP28,2,107,59,4381,0.5
GP row,83,GP110,2,107,59,4381,0.5
GP row,84,GP185,1,107,59,3481,0.5
GP row,85,GP136,2,107,56,4985,0.5
GP row,86,GP19,3,107,55,3030,0.5
GP row,87,GP114,2,107,55,3029,0.5
GP row,88,GP115,2,107,55,3029,0.5
GP row,89,GP76,1,107,55,3025,0.5
GP row,90,GP173,3,107,54,6741,0.5
GP row,91,GP67,3,107,54,4054,0.5
GP row,92,GP188,1,107,54,2916,0.5
GP row,93,GP160,2,107,53,3965,0.5
GP row,94,GP25,17,107,52,12982,0.5
GP row,95,GP20,7,107,52,7330,0.5
GP row,96,GP182,4,107,52,4254,0.5
GP row,97,GP118,4,107,52,4197,0.5
GP row,98,GP78,3,107,50,2982,0.5
GP row,99,GP172,2,107,50,2549,0.5
GP row,100,GP194,3,107,47,2291,0.5
GP row,101,GP164,1,107,47,2209,0.5
GP row,102,GP5,6,107,46,4626,0.5
GP row,103,GP106,1,107,46,2116,0.5
GP row,104,GP148,6,107,45,4523,0.5
GP row,105,GP65,4,107,45,2574,0.5
GP row,106,GP158,2,107,43,2578,0.5
GP row,107,GP129,2,107,42,2664,0.5
GP row,108,GP97,1,107,41,1681,0.5
GP row,109,GP167,4,107,40,4085,0.5
GP row,110,GP156,2,107,40,1681,0.5
GP row,111,GP159,2,107,40,1681,0.5
GP row,112,GP56,1,107,40,1600,0.5
GP row,113,GP186,2,107,39,1717,0.5
GP row,114,GP179,2,107,38,1469,0.5
GP row,115,GP53,2,107,38,1453,0.5
GP row,116,GP85,2,107,38,1453,0.5
GP row,117,GP149,2,107,38,1453,0.5
GP row,118,GP150,2,107,38,1453,0.5
GP row,119,GP154,2,107,37,1418,0.5
GP row,120,GP189,3,107,36,2434,0.5
GP row,121,GP55,2,107,36,2385,0.5
GP row,122,GP66,1,107,36,1296,0.5
GP row,123,GP191,4,107,35,2286,0.5
GP row,124,GP140,3,107,32,1037,0.5
GP row,125,GP143,2,107,32,1028,0.5
GP row,126,GP6,6,107,31,1236,0.5
GP row,127,GP177,6,107,31,1132,0.5
GP row,128,GP72,5,107,31,1123,0.5
GP row,129,GP113,4,107,31,1092,0.5
GP row,130,GP57,2,107,30,1000,0.5
GP row,131,GP111,2,107,30,1000,0.5
GP row,132,GP112,2,107,30,1000,0.5
GP row,133,GP187,2,107,30,1000,0.5
GP row,134,GP24,5,107,29,1754,0.5
GP row,135,GP165,1,107,29,841,0.5
GP row,136,GP152,2,107,27,730,0.5
GP row,137,GP146,2,107,26,1076,0.5
GP row,138,GP119,5,107,24,2015,0.5
GP row,139,GP34,4,107,24,1574,0.5
GP row,140,GP199,3,107,24,692,0.5
GP row,141,GP17,4,107,23,787,0.5
GP row,142,GP144,2,107,23,533,0.5
GP row,143,GP105,4,107,21,1241,0.5
GP row,144,GP13,7,107,20,1194,0.5
GP row,145,GP23,4,107,20,804,0.5
GP row,146,GP151,4,107,20,505,0.5
GP row,147,GP190,2,107,20,724,0.5
GP row,148,GP196,5,107,19,511,0.5
GP row,149,GP102,3,107,19,426,0.5
GP row,150,GP137,2,107,19,505,0.5
GP row,151,GP18,4,107,18,714,0.5
GP row,152,GP153,4,107,18,714,0.5
GP row,153,GP42,3,107,18,689,0.5
GP row,154,GP91,3,107,18,689,0.5
GP row,155,GP59,1,107,17,289,0.5
GP row,156,GP94,1,107,17,289,0.5
GP row,157,GP95,1,107,17,289,0.5
GP row,158,GP123,1,107,17,289,0.5
GP row,159,GP90,3,107,16,360,0.5
GP row,160,GP39,2,107,16,260,0.5
GP row,161,GP125,2,107,15,346,0.5
GP row,162,GP162,4,107,14,391,0.5
GP row,163,GP75,2,107,12,153,0.5
GP row,164,GP192,1,107,12,144,0.5
GP row,165,GP141,1,107,11,121,0.5
GP row,166,GP64,2,107,10,149,0.5
GP row,167,GP130,1,107,10,100,0.5
GP row,168,GP184,1,107,10,100,0.5
GP row,169,GP157,2,107,9,82,0.5
GP row,170,GP193,1,107,9,81,0.5
GP row,171,GP70,2,107,7,50,0.5
GP row,172,GP45,1,107,7,49,0.5
GP row,173,GP71,1,107,7,49,0.5
GP row,174,GP38,1,107,6,36,0.5
GP row,175,GP60,1,107,6,36,0.5
GP row,176,GP122,1,107,6,36,0.5
GP row,177,GP124,1,107,6,36,0.5
GP row,178,GP128,1,107,6,36,0.5
GP row,179,GP133,1,107,6,36,0.5
GP row,180,GP134,1,107,6,36,0.5
GP row,181,GP44,2,107,5,26,0.5
GP row,182,GP98,1,107,5,25,0.5
GP row,183,GP54,1,107,4,16,0.5
GP row,184,GP198,1,107,4,16,0.5
GP row,185,GP197,2,107,3,13,0.5
GP row,186,GP8,1,107,3,9,0.5
GP row,187,GP93,1,107,3,9,0.5
GP row,188,GP107,1,107,3,9,0.5
GP row,189,GP131,1,107,3,9,0.5
GP row,190,GP183,1,107,3,9,0.5
GP row,191,GP200,1,107,3,9,0.5
GP row,192,GP89,1,107,2,4,0.5
GP row,193,GP175,1,107,2,4,0.5
GP row,194,GP36,1,107,1,1,0.5
GP row,195,GP50,1,107,1,1,0.5
GP row,196,GP69,1,107,1,1,0.5
GP row,197,GP81,1,107,1,1,0.5
GP row,198,GP108,1,107,1,1,0.5
GP row,199,GP161,1,107,1,1,0.5
GP row,200,GP169,1,107,1,1,0.5
Group column,1,CD4.Y,28,200,NA,NA,0.5
Group column,2,gdT.E,26,200,NA,NA,0.5
Group column,3,gdT.Z,24,200,NA,NA,0.5
Group column,4,gdT.T,23,200,NA,NA,0.5
Group column,5,gdT.S,22,200,NA,NA,0.5
Group column,6,DN.A,21,200,NA,NA,0.5
Group column,7,DN.H,21,200,NA,NA,0.5
Group column,8,gdT.R,21,200,NA,NA,0.5
Group column,9,CD4.T,20,200,NA,NA,0.5
Group column,10,CD8.S,20,200,NA,NA,0.5
Group column,11,DN.wM,20,200,NA,NA,0.5
Group column,12,DN.E,19,200,NA,NA,0.5
Group column,13,gdT.U,18,200,NA,NA,0.5
Group column,14,gdT.V,18,200,NA,NA,0.5
Group column,15,DN.P,17,200,NA,NA,0.5
Group column,16,gdT.D,17,200,NA,NA,0.5
Group column,17,gdT.J,17,200,NA,NA,0.5
Group column,18,gdT.Q,17,200,NA,NA,0.5
Group column,19,gdT.wM,17,200,NA,NA,0.5
Group column,20,Tz.D,17,200,NA,NA,0.5
Group column,21,CD8.P,16,200,NA,NA,0.5
Group column,22,DP.wP,16,200,NA,NA,0.5
Group column,23,Tz.wM,16,200,NA,NA,0.5
Group column,24,CD4.P,15,200,NA,NA,0.5
Group column,25,CD8.J,15,200,NA,NA,0.5
Group column,26,DN.D,15,200,NA,NA,0.5
Group column,27,Treg.E,15,200,NA,NA,0.5
Group column,28,Treg.P,15,200,NA,NA,0.5
Group column,29,Treg.wM,15,200,NA,NA,0.5
Group column,30,CD4.I,14,200,NA,NA,0.5
Group column,31,CD4.X,14,200,NA,NA,0.5
Group column,32,DN.J,14,200,NA,NA,0.5
Group column,33,DP.wE,14,200,NA,NA,0.5
Group column,34,Treg.F,14,200,NA,NA,0.5
Group column,35,CD4.R,13,200,NA,NA,0.5
Group column,36,CD8.wV,13,200,NA,NA,0.5
Group column,37,DN.B,13,200,NA,NA,0.5
Group column,38,gdT.P,13,200,NA,NA,0.5
Group column,39,CD4.F,12,200,NA,NA,0.5
Group column,40,CD4.U,12,200,NA,NA,0.5
Group column,41,CD8.wM,12,200,NA,NA,0.5
Group column,42,CD8.wX,12,200,NA,NA,0.5
Group column,43,CD8aa.D,12,200,NA,NA,0.5
Group column,44,DN.I,12,200,NA,NA,0.5
Group column,45,gdT.B,12,200,NA,NA,0.5
Group column,46,Tz.P,12,200,NA,NA,0.5
Group column,47,CD4.S,11,200,NA,NA,0.5
Group column,48,CD8.D,11,200,NA,NA,0.5
Group column,49,CD8.F,11,200,NA,NA,0.5
Group column,50,CD8.H,11,200,NA,NA,0.5
Group column,51,CD8.I,11,200,NA,NA,0.5
Group column,52,CD8.K,11,200,NA,NA,0.5
Group column,53,DN.C,11,200,NA,NA,0.5
Group column,54,DP.wH,11,200,NA,NA,0.5
Group column,55,DP.wM,11,200,NA,NA,0.5
Group column,56,gdT.G,11,200,NA,NA,0.5
Group column,57,Treg.C,11,200,NA,NA,0.5
Group column,58,CD4.G,10,200,NA,NA,0.5
Group column,59,CD4.H,10,200,NA,NA,0.5
Group column,60,CD4.Q,10,200,NA,NA,0.5
Group column,61,CD4.wM,10,200,NA,NA,0.5
Group column,62,CD8.B,10,200,NA,NA,0.5
Group column,63,CD8.G,10,200,NA,NA,0.5
Group column,64,CD8aa.B,10,200,NA,NA,0.5
Group column,65,CD8aa.wM,10,200,NA,NA,0.5
Group column,66,DN.G,10,200,NA,NA,0.5
Group column,67,DP.wD,10,200,NA,NA,0.5
Group column,68,gdT.A,10,200,NA,NA,0.5
Group column,69,Treg.B,10,200,NA,NA,0.5
Group column,70,Treg.D,10,200,NA,NA,0.5
Group column,71,CD4.wZ,9,200,NA,NA,0.5
Group column,72,CD8.E,9,200,NA,NA,0.5
Group column,73,CD8.Q,9,200,NA,NA,0.5
Group column,74,CD8.R,9,200,NA,NA,0.5
Group column,75,CD8.wY,9,200,NA,NA,0.5
Group column,76,DN.F,9,200,NA,NA,0.5
Group column,77,DP.wG,9,200,NA,NA,0.5
Group column,78,gdT.C,9,200,NA,NA,0.5
Group column,79,gdT.F,9,200,NA,NA,0.5
Group column,80,gdT.H,9,200,NA,NA,0.5
Group column,81,CD4.A,8,200,NA,NA,0.5
Group column,82,CD4.B,8,200,NA,NA,0.5
Group column,83,CD4.E,8,200,NA,NA,0.5
Group column,84,CD8.C,8,200,NA,NA,0.5
Group column,85,CD8aa.A,8,200,NA,NA,0.5
Group column,86,CD8aa.E,8,200,NA,NA,0.5
Group column,87,DP.wB,8,200,NA,NA,0.5
Group column,88,DP.wY,8,200,NA,NA,0.5
Group column,89,Tz.C,8,200,NA,NA,0.5
Group column,90,CD4.D,7,200,NA,NA,0.5
Group column,91,CD4.wN,7,200,NA,NA,0.5
Group column,92,CD8aa.C,7,200,NA,NA,0.5
Group column,93,CD8aa.P,7,200,NA,NA,0.5
Group column,94,DP.wA,7,200,NA,NA,0.5
Group column,95,DP.wX,7,200,NA,NA,0.5
Group column,96,gdT.I,7,200,NA,NA,0.5
Group column,97,gdT.X,7,200,NA,NA,0.5
Group column,98,Treg.A,7,200,NA,NA,0.5
Group column,99,Tz.A,7,200,NA,NA,0.5
Group column,100,DP.wC,6,200,NA,NA,0.5
Group column,101,gdT.K,6,200,NA,NA,0.5
Group column,102,Tz.B,6,200,NA,NA,0.5
Group column,103,CD4.C,5,200,NA,NA,0.5
Group column,104,CD8.A,5,200,NA,NA,0.5
Group column,105,CD8.T,5,200,NA,NA,0.5
Group column,106,CD8.wU,5,200,NA,NA,0.5
Group column,107,DP.wF,5,200,NA,NA,0.5
