dimension,order,label,dominant_group,dominant_group_position,dominant_mean,second_mean,dominance_gap,dominant_gp_count
GP row,1,GP8,skin,1,0.182585011144817,0.000299586045206372,0.18228542509961,NA
GP row,2,GP93,skin,1,0.123863861269331,0.000188023393874114,0.123675837875457,NA
GP row,3,GP177,skin,1,0.152761438640057,0.040417976658675,0.112343461981382,NA
GP row,4,GP6,skin,1,0.232121848027319,0.125428942504175,0.106692905523144,NA
GP row,5,GP23,skin,1,0.182760454606629,0.0833639011888987,0.0993965534177306,NA
GP row,6,GP72,skin,1,0.148721859379701,0.0680589288728332,0.0806629305068674,NA
GP row,7,GP25,skin,1,0.179293082539524,0.164187776753026,0.0151053057864983,NA
GP row,8,GP63,skin,1,0.151217660617597,0.150951232209263,0.000266428408333991,NA
GP row,9,GP62,small intestine epi,2,0.25592568057013,0.0698778388533688,0.186047841716761,NA
GP row,10,GP3,small intestine epi,2,0.260935526517872,0.154359487299897,0.106576039217974,NA
GP row,11,GP100,small intestine epi,2,0.156036568074378,0.0853735120497317,0.0706630560246462,NA
GP row,12,GP1,small intestine epi,2,0.438365436167064,0.428780713184829,0.00958472298223567,NA
GP row,13,GP26,submandibular gland,3,0.280962241165108,0.179635767522908,0.1013264736422,NA
GP row,14,GP4,submandibular gland,3,0.220923705091736,0.21416359228161,0.00676011281012676,NA
GP row,15,GP30,submandibular gland,3,0.144520628761165,0.139589027971571,0.00493160078959407,NA
GP row,16,GP171,submandibular gland,3,0.190914069555375,0.187403213228178,0.00351085632719703,NA
GP row,17,GP49,CNS,4,0.442782706357079,0.281593755941734,0.161188950415345,NA
GP row,18,GP166,CNS,4,0.210036249771297,0.156475436120711,0.0535608136505864,NA
GP row,19,GP51,CNS,4,0.203878810899083,0.200497423990866,0.00338138690821749,NA
GP row,20,GP170,small intestine LP,5,0.178914751838384,0.105619919594465,0.0732948322439186,NA
GP row,21,GP174,small intestine LP,5,0.10956413083536,0.0881422612745839,0.0214218695607758,NA
GP row,22,GP32,placenta,6,0.234650327088182,0.180078530293464,0.0545717967947179,NA
GP row,23,GP11,placenta,6,0.326897407501658,0.304209543528882,0.0226878639727756,NA
GP row,24,GP80,peritoneal cavity,7,0.274064177643596,0.187617194411613,0.0864469832319832,NA
GP row,25,GP41,peritoneal cavity,7,0.301596790037512,0.275881833696731,0.0257149563407804,NA
GP row,26,GP22,mammary gland,8,0.144409910727254,0.0976651937188605,0.046744717008394,NA
GP row,27,GP43,mammary gland,8,0.241420322802608,0.229672768317044,0.0117475544855642,NA
GP row,28,GP35,colon LP,9,0.231664569670391,0.199331300307594,0.0323332693627964,NA
GP row,29,GP29,colon epi,10,0.432946560796113,0.270096467580706,0.162850093215407,NA
GP row,30,GP58,bone marrow,11,0.278279964634542,0.217093944254667,0.0611860203798752,NA
GP row,31,GP9,LN,12,0.224912228953586,0.114166006207378,0.110746222746209,NA
Group column,1,skin,NA,1,NA,NA,NA,8
Group column,2,small intestine epi,NA,2,NA,NA,NA,4
Group column,3,submandibular gland,NA,3,NA,NA,NA,4
Group column,4,CNS,NA,4,NA,NA,NA,3
Group column,5,small intestine LP,NA,5,NA,NA,NA,2
Group column,6,placenta,NA,6,NA,NA,NA,2
Group column,7,peritoneal cavity,NA,7,NA,NA,NA,2
Group column,8,mammary gland,NA,8,NA,NA,NA,2
Group column,9,colon LP,NA,9,NA,NA,NA,1
Group column,10,colon epi,NA,10,NA,NA,NA,1
Group column,11,bone marrow,NA,11,NA,NA,NA,1
Group column,12,LN,NA,12,NA,NA,NA,1
Group column,13,kidney,NA,13,NA,NA,NA,0
Group column,14,liver,NA,14,NA,NA,NA,0
Group column,15,uterus,NA,15,NA,NA,NA,0
Group column,16,lung,NA,16,NA,NA,NA,0
Group column,17,blood,NA,17,NA,NA,NA,0
Group column,18,spleen,NA,18,NA,NA,NA,0
