level2_cluster,level1,display_column,n_cells
CD8.A,CD8,0,64715
CD8.B,CD8,1,22436
CD8.C,CD8,2,5030
CD8.D,CD8,3,4231
CD8.E,CD8,4,16943
CD8.F,CD8,5,518
CD8.G,CD8,6,7457
CD8.H,CD8,7,14513
CD8.I,CD8,8,3750
CD8.J,CD8,9,8994
CD8.K,CD8,10,2453
CD8.P,CD8,11,8987
CD8.Q,CD8,12,15063
CD8.R,CD8,13,7217
CD8.S,CD8,14,1616
CD8.T,CD8,15,1664
CD8.wM,CD8,16,10631
CD8.wU,CD8,17,1359
CD8.wV,CD8,18,518
CD8.wX,CD8,19,252
CD8.wY,CD8,20,924
CD4.A,CD4,21,41270
CD4.B,CD4,22,35732
CD4.C,CD4,23,48939
CD4.D,CD4,24,8657
CD4.E,CD4,25,5194
CD4.F,CD4,26,7251
CD4.G,CD4,27,19856
CD4.H,CD4,28,12766
CD4.I,CD4,29,5202
CD4.P,CD4,30,4915
CD4.Q,CD4,31,19579
CD4.R,CD4,32,3068
CD4.S,CD4,33,1672
CD4.T,CD4,34,2311
CD4.U,CD4,35,455
CD4.wM,CD4,36,17693
CD4.wN,CD4,37,1226
CD4.wZ,CD4,38,781
CD4.X,CD4,39,3276
CD4.Y,CD4,40,1229
Treg.A,Treg,41,11758
Treg.B,Treg,42,6007
Treg.C,Treg,43,1833
Treg.D,Treg,44,8377
Treg.E,Treg,45,3506
Treg.F,Treg,46,5635
Treg.P,Treg,47,4169
Treg.wM,Treg,48,1147
gdT.A,gdT,49,5442
gdT.B,gdT,50,10338
gdT.C,gdT,51,2874
gdT.D,gdT,52,6497
gdT.E,gdT,53,855
gdT.F,gdT,54,9625
gdT.G,gdT,55,2908
gdT.H,gdT,56,716
gdT.I,gdT,57,5734
gdT.J,gdT,58,82
gdT.K,gdT,59,3410
gdT.P,gdT,60,3645
gdT.Q,gdT,61,1379
gdT.R,gdT,62,2059
gdT.S,gdT,63,2781
gdT.T,gdT,64,947
gdT.U,gdT,65,2015
gdT.V,gdT,66,2705
gdT.wM,gdT,67,3016
gdT.X,gdT,68,31
gdT.Z,gdT,69,3508
CD8aa.A,CD8aa,70,14143
CD8aa.B,CD8aa,71,3066
CD8aa.C,CD8aa,72,5675
CD8aa.D,CD8aa,73,2270
CD8aa.E,CD8aa,74,1502
CD8aa.P,CD8aa,75,1053
CD8aa.wM,CD8aa,76,624
Tz.A,Tz,77,8809
Tz.B,Tz,78,1457
Tz.C,Tz,79,2376
Tz.D,Tz,80,3049
Tz.P,Tz,81,300
Tz.wM,Tz,82,941
DN.A,DN,83,1175
DN.B,DN,84,5746
DN.C,DN,85,4252
DN.D,DN,86,3375
DN.E,DN,87,3936
DN.F,DN,88,390
DN.G,DN,89,112
DN.H,DN,90,1194
DN.I,DN,91,904
DN.J,DN,92,172
DN.P,DN,93,707
DN.wM,DN,94,1327
DP.wA,DP,95,1860
DP.wB,DP,96,956
DP.wC,DP,97,839
DP.wD,DP,98,760
DP.wE,DP,99,621
DP.wF,DP,100,29
DP.wG,DP,101,53
DP.wH,DP,102,65
DP.wM,DP,103,341
DP.wP,DP,104,359
DP.wX,DP,105,1371
DP.wY,DP,106,400
